gpa	hsm	hse	satm	sex
3.32	10	10	670	1
2.26	6	5	700	1
2.35	8	8	640	1
2.08	9	7	670	1
3.38	8	8	540	1
3.29	10	8	760	1
3.21	8	7	600	1
2	3	6	460	1
3.18	9	8	670	1
2.34	7	6	570	1
3.08	9	6	491	1
3.34	5	7	600	1
1.4	6	8	510	1
1.43	10	9	750	1
2.48	8	6	650	1
3.73	10	9	720	1
3.8	10	9	760	1
4	9	8	800	1
2	9	5	640	1
3.74	9	9	750	1
2.32	9	8	520	1
2.79	8	7	610	1
3.21	7	8	505	1
3.08	9	8	559	1
3.75	10	9	760	1
3.16	10	8	640	1
2.73	9	7	520	1
3.06	8	10	580	1
1.07	7	6	700	1
3.35	10	10	620	1
1.82	6	6	490	1
3.12	10	7	640	1
2.25	9	4	550	1
2.93	10	10	600	1
3.16	9	7	400	1
2.83	10	9	710	1
3.1	9	9	750	1
3.07	7	7	660	1
2.87	9	9	620	1
3.61	10	9	630	1
2.17	10	7	650	1
1.95	7	9	550	1
3.35	10	10	730	1
3.58	10	8	710	1
2.75	10	5	770	1
3.26	10	9	610	1
3.41	9	7	600	1
3.67	10	10	640	1
3.81	10	7	750	1
3.3	10	9	650	1
2.3	9	10	590	1
3.62	10	8	660	1
3.2	9	7	570	1
2.55	7	8	570	1
2.82	10	9	660	1
3.25	9	8	690	1
2.21	7	8	670	1
2.5	10	9	660	1
3.03	8	7	600	1
1.92	9	8	447	1
4	7	6	600	1
1.81	9	9	620	1
2.7	6	6	580	1
2.96	9	8	630	1
2.76	10	10	600	1
2.71	8	9	700	1
3.4	9	9	550	1
2.65	8	8	680	1
2.48	8	7	630	1
3.86	10	10	750	1
2.62	9	7	491	1
3.72	7	7	550	1
3.5	8	8	630	1
2.83	6	7	690	1
3.06	8	5	540	1
4	9	10	640	1
3.7	8	8	520	1
2.81	9	4	559	1
1.93	8	8	590	1
3.7	10	10	580	1
2.96	9	6	670	1
2.64	9	8	620	1
3.09	10	8	540	1
3	4	4	620	1
2.97	10	10	770	1
2.81	10	10	620	1
3.32	10	10	660	1
3.4	7	4	710	1
1.84	9	6	610	1
0.4	6	7	560	1
2.88	9	6	690	1
2.77	6	9	590	1
2.26	5	7	530	1
2.03	6	9	540	1
2.43	7	10	530	1
2.63	10	6	640	1
1.66	8	3	590	1
3.41	9	9	520	1
2.12	7	8	559	1
3.33	7	7	500	1
1.69	8	7	490	1
2.46	6	7	490	1
1.59	8	7	670	1
1.14	10	7	720	1
0.65	9	7	640	1
2.12	7	7	520	1
2.82	4	7	400	1
2.34	8	7	480	1
2.11	6	9	480	1
1.34	6	8	530	1
2.53	8	8	550	1
2.75	10	10	720	1
3.14	9	9	640	1
2.25	10	10	690	1
1	8	10	640	1
2.79	9	7	690	1
2.39	6	6	470	1
2.15	6	6	480	1
0.75	7	6	540	1
3.06	5	9	510	1
2.5	9	9	560	1
2.78	9	10	600	1
2.44	8	8	690	1
1.11	7	7	590	1
3.12	10	10	580	1
2.17	8	8	650	1
0.12	4	6	630	1
2	6	6	530	1
3.22	9	9	650	1
1.88	10	6	620	1
2.04	8	7	690	1
2.58	10	9	720	1
2.16	6	6	590	1
2.5	7	10	630	1
1.85	10	7	700	1
1.46	7	8	630	1
2.95	9	8	620	1
0.8	8	9	470	1
0.91	6	7	586	1
2.67	9	10	586	1
2.51	9	7	700	1
1.79	7	5	550	1
2.42	6	8	505	1
0.58	5	7	515	1
3	10	9	774	1
2.76	10	10	570	2
3.35	9	9	580	2
3.8	10	8	560	2
2.38	9	10	650	2
2.58	10	9	440	2
3.18	10	10	570	2
2.87	8	7	476	2
3.16	8	8	680	2
3.07	9	9	490	2
3.68	10	9	590	2
3.34	10	10	590	2
1.93	10	8	650	2
2.43	9	9	480	2
3.28	10	10	670	2
3.66	10	10	710	2
2.29	7	8	570	2
2.19	6	6	540	2
3.06	10	10	620	2
3.41	8	8	630	2
3.14	9	10	630	2
2.85	10	8	610	2
3.47	10	9	720	2
3.44	10	9	640	2
3.9	10	10	650	2
3.65	9	9	640	2
1.32	9	9	740	2
3.23	10	10	600	2
2.86	10	10	650	2
2.51	8	10	510	2
2.86	8	8	550	2
3.34	10	9	570	2
3.33	9	9	630	2
3.69	10	8	710	2
1.8	7	7	620	2
2.57	9	10	417	2
2.28	8	10	600	2
1.6	4	7	460	2
2	2	6	300	2
1.69	7	7	560	2
3.06	9	9	590	2
2.75	8	8	559	2
2.62	9	8	550	2
0.39	7	9	550	2
2.44	10	9	650	2
3.46	9	8	610	2
2.37	8	9	530	2
1.25	7	6	480	2
2.8	10	9	550	2
2.14	5	8	560	2
2.45	7	8	430	2
2.71	9	10	490	2
2.59	10	10	590	2
2.93	9	10	690	2
2.53	7	9	570	2
1.95	6	9	550	2
3.39	9	10	510	2
2.69	8	9	470	2
1.94	8	8	470	2
3	10	9	510	2
2.09	9	8	450	2
1.85	10	10	530	2
3.34	10	10	490	2
2.25	6	10	530	2
4	10	10	580	2
2.72	6	7	580	2
2.61	9	8	620	2
2.32	6	7	430	2
3.39	10	10	500	2
3.64	8	8	590	2
1.8	8	9	620	2
1.52	9	10	520	2
3.4	6	9	480	2
2.86	9	8	640	2
3.32	10	10	640	2
2.07	9	6	600	2
0.85	7	9	510	2
1.86	7	7	356	2
2.59	5	7	630	2
2.28	9	9	559	2
